step,K,U,E
376,0.0002867964,-0.0375633725,-0.0372765761
377,0.0002883350,-0.0375644285,-0.0372760934
378,0.0002898779,-0.0375656847,-0.0372758068
379,0.0002914250,-0.0375684130,-0.0372769880
380,0.0002929764,-0.0375685120,-0.0372755356
381,0.0002945319,-0.0375698213,-0.0372752894
382,0.0002960917,-0.0375726564,-0.0372765648
383,0.0002976558,-0.0375740036,-0.0372763478
384,0.0002992241,-0.0375740926,-0.0372748685
385,0.0003007966,-0.0375768856,-0.0372760891
386,0.0003023734,-0.0375782557,-0.0372758823
387,0.0003039544,-0.0375793042,-0.0372753498
388,0.0003055397,-0.0375821777,-0.0372766380
389,0.0003071293,-0.0375826543,-0.0372755251
390,0.0003087230,-0.0375838007,-0.0372750777
391,0.0003103211,-0.0375868848,-0.0372765638
392,0.0003119234,-0.0375879228,-0.0372759994
393,0.0003135299,-0.0375885910,-0.0372750611
394,0.0003151407,-0.0375909638,-0.0372758231
395,0.0003167558,-0.0375922728,-0.0372755170
396,0.0003183751,-0.0375943410,-0.0372759659
397,0.0003199987,-0.0375963308,-0.0372763321
398,0.0003216266,-0.0375969004,-0.0372752737
399,0.0003232588,-0.0375994161,-0.0372761573
400,0.0003248952,-0.0376007706,-0.0372758754
401,0.0003265358,-0.0376018937,-0.0372753579
402,0.0003281808,-0.0376048093,-0.0372766285
403,0.0003298301,-0.0376059723,-0.0372761422
404,0.0003314835,-0.0376062815,-0.0372747980
405,0.0003331412,-0.0376092697,-0.0372761285
406,0.0003348033,-0.0376103393,-0.0372755360
407,0.0003364696,-0.0376114143,-0.0372749447
408,0.0003381401,-0.0376143736,-0.0372762335
409,0.0003398150,-0.0376155090,-0.0372756939
410,0.0003414942,-0.0376177652,-0.0372762710
411,0.0003431776,-0.0376188902,-0.0372757126
412,0.0003448653,-0.0376200618,-0.0372751965
413,0.0003465573,-0.0376227953,-0.0372762380
414,0.0003482537,-0.0376240959,-0.0372758422
415,0.0003499542,-0.0376250944,-0.0372751402
416,0.0003516591,-0.0376274376,-0.0372757785
417,0.0003533682,-0.0376284977,-0.0372751295
418,0.0003550817,-0.0376315972,-0.0372765155
419,0.0003567995,-0.0376327979,-0.0372759984
420,0.0003585215,-0.0376339365,-0.0372754150
421,0.0003602479,-0.0376369348,-0.0372766869
422,0.0003619786,-0.0376378543,-0.0372758757
423,0.0003637135,-0.0376385494,-0.0372748359
424,0.0003654527,-0.0376414064,-0.0372759538
425,0.0003671962,-0.0376425466,-0.0372753504
426,0.0003689441,-0.0376452855,-0.0372763415
427,0.0003706963,-0.0376469691,-0.0372762728
428,0.0003724528,-0.0376481291,-0.0372756763
429,0.0003742136,-0.0376505040,-0.0372762905
430,0.0003759786,-0.0376510979,-0.0372751193
431,0.0003777480,-0.0376542185,-0.0372764704
432,0.0003795218,-0.0376553417,-0.0372758199
433,0.0003812998,-0.0376566336,-0.0372753338
434,0.0003830822,-0.0376594859,-0.0372764038
435,0.0003848689,-0.0376607926,-0.0372759237
436,0.0003866598,-0.0376619567,-0.0372752969
437,0.0003884551,-0.0376647904,-0.0372763353
438,0.0003902548,-0.0376650679,-0.0372748132
439,0.0003920587,-0.0376681651,-0.0372761064
440,0.0003938670,-0.0376695533,-0.0372756863
441,0.0003956795,-0.0376706248,-0.0372749453
442,0.0003974964,-0.0376734716,-0.0372759751
443,0.0003993177,-0.0376746428,-0.0372753251
444,0.0004011433,-0.0376776635,-0.0372765202
445,0.0004029733,-0.0376789027,-0.0372759294
446,0.0004048076,-0.0376801636,-0.0372753560
447,0.0004066462,-0.0376826047,-0.0372759585
448,0.0004084891,-0.0376834686,-0.0372749795
449,0.0004103364,-0.0376864074,-0.0372760710
450,0.0004121880,-0.0376874862,-0.0372752982
451,0.0004140439,-0.0376888119,-0.0372747680
452,0.0004159042,-0.0376920002,-0.0372760960
453,0.0004177688,-0.0376930825,-0.0372753137
454,0.0004196379,-0.0376959552,-0.0372763174
455,0.0004215112,-0.0376970316,-0.0372755204
